town,flat_type,block,street_name,floor_area_sqm,flat_model,resale_price,remaining_lease,storey_no,lease_commence_date
ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,44,Improved,232000,61.33333333,10,1979
ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,67,New Generation,250000,60.58333333,1,1978
ANG MO KIO,3 ROOM,602,ANG MO KIO AVE 5,67,New Generation,262000,62.41666667,3,1980
ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,68,New Generation,265000,62.08333333,5,1980
ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,67,New Generation,265000,62.41666667,3,1980
ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,68,New Generation,275000,63,2,1981
ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,68,New Generation,280000,61.5,6,1979
ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,67,New Generation,285000,58.33333333,5,1976
ANG MO KIO,3 ROOM,447,ANG MO KIO AVE 10,68,New Generation,285000,61.5,6,1979
ANG MO KIO,3 ROOM,571,ANG MO KIO AVE 3,67,New Generation,285000,61.33333333,2,1979
ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,68,New Generation,288500,62.08333333,1,1980
ANG MO KIO,3 ROOM,233,ANG MO KIO AVE 3,67,New Generation,295000,59.66666667,10,1977
ANG MO KIO,3 ROOM,235,ANG MO KIO AVE 3,67,New Generation,295000,59.66666667,5,1977
ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,67,New Generation,297000,59.5,9,1977
ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,68,New Generation,298000,62.08333333,8,1980
ANG MO KIO,3 ROOM,230,ANG MO KIO AVE 3,67,New Generation,298000,60,5,1978
ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,67,New Generation,300000,61.33333333,12,1979
ANG MO KIO,3 ROOM,624,ANG MO KIO AVE 4,68,New Generation,301000,62.66666667,4,1980
ANG MO KIO,3 ROOM,441,ANG MO KIO AVE 10,67,New Generation,306000,61,9,1979
ANG MO KIO,3 ROOM,625,ANG MO KIO AVE 9,68,New Generation,312000,62.66666667,4,1980
ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,67,New Generation,312000,60.83333333,7,1978
ANG MO KIO,3 ROOM,255,ANG MO KIO AVE 4,73,New Generation,321000,59.5,4,1977
ANG MO KIO,3 ROOM,432,ANG MO KIO AVE 10,67,New Generation,325000,61,11,1979
ANG MO KIO,3 ROOM,211,ANG MO KIO AVE 3,67,New Generation,325000,59.25,2,1977
ANG MO KIO,3 ROOM,584,ANG MO KIO AVE 3,67,New Generation,328000,61.41666667,6,1979
ANG MO KIO,3 ROOM,118,ANG MO KIO AVE 4,74,New Generation,330000,60.33333333,8,1978
ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,68,New Generation,330000,63,7,1981
ANG MO KIO,3 ROOM,256,ANG MO KIO AVE 4,73,New Generation,335000,59.5,11,1977
ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,68,New Generation,338000,63,9,1981
ANG MO KIO,3 ROOM,557,ANG MO KIO AVE 10,82,New Generation,366000,62,10,1980
ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,73,New Generation,373000,60.25,11,1978
